Brand,Country,num,id
Kmart Australia,Australia,24,1
Target Australia,Australia,24,1
Lululemon,Canada,21,2
Paris,Chile,7,3
Metersbonwe,China,0,4
Romwe,China,0,4
Semir,China,0,4
SHEIN,China,0,4
Youngor,China,0,4
Li-Ning,China,3,4
Vero Moda,Denmark,14,5
Prisma,Finland,8,6
Longchamp,France,2,7
Sandro,France,3,7
Monoprix,France,4,7
La Redoute,France,7,7
Pimkie,France,12,7
Kiabi,France,14,7
Marc Jacobs,France,14,7
Lacoste,France,15,7
Louis Vuitton,France,15,7
SAINT LAURENT,France,23,7
KiK,Germany,0,8
New Yorker,Germany,0,8
Takko,Germany,0,8
Triumph,Germany,0,8
Otto,Germany,4,8
Kaufland,Germany,5,8
s.Oliver,Germany,6,8
Lidl,Germany,8,8
Tchibo,Germany,12,8
Tom Tailor,Germany,12,8
Zalando,Germany,16,8
Puma,Germany,19,8
KOOVS,India,0,9
Reliance Trends,India,1,9
Primark,Ireland,13,10
K-Way,Italy,0,11
Marni,Italy,0,11
Max Mara,Italy,0,11
Valentino,Italy,0,11
Tod's,Italy,2,11
Versace,Italy,2,11
Moncler,Italy,4,11
Miu Miu,Italy,9,11
Prada,Italy,9,11
Salvatore Ferragamo,Italy,9,11
Tezenis,Italy,16,11
United Colors of Benetton,Italy,21,11
Massimo Dutti,Italy,23,11
OVS,Italy,26,11
Mizuno,Japan,2,12
Shimamura,Japan,2,12
United Arrows,Japan,4,12
TOPVALU COLLECTION,Japan,7,12
Muji,Japan,11,12
Uniqlo,Japan,21,12
Mexx,Netherlands,0,13
Zeeman,Netherlands,9,13
Kathmandu,NZ,3,14
The Warehouse,NZ,3,14
Reserved,Poland,12,15
Truworths,South Africa,2,16
MRP,South Africa,5,16
Woolworths South Africa,South Africa,12,16
Pepe Jeans,Spain,0,17
Mango,Spain,16,17
Pull&Bear,Spain,23,17
Stradivarius,Spain,23,17
Zara,Spain,23,17
Lindex,Sweden,17,18
Mammut,Switzerland,11,19
LC Waikiki,Turkey,0,20
Max,UAE,0,21
Splash,UAE,0,21
Sports Direct,UK,2,22
Very,UK,5,22
Matalan,UK,6,22
Ted Baker,UK,9,22
Next,UK,10,22
Tesco,UK,10,22
Morrisons,UK,11,22
John Lewis,UK,12,22
New Look,UK,12,22
PrettyLittleThing,UK,12,22
River Island,UK,13,22
Sainsbury's,UK,14,22
Marks & Spencer,UK,16,22
Speedo,UK,16,22
Superdry,UK,22,22
Justfab,USA,0,22
Kmart,USA,0,22
Nine West,USA,0,22
Quiksilver,USA,0,22
REVOLVE,USA,0,22
Roxy,USA,0,22
Skechers,USA,0,22
Tom Ford,USA,0,22
Tommy Bahama,USA,0,22
Tory Burch,USA,0,22
Under Armour,USA,0,22
Van Heusen,USA,0,22
Macy's,USA,1,22
Merrell,USA,1,22
Ross Dress for Less,USA,1,22
The Children's Place,USA,1,22
Lands' End,USA,2,22
Michael Kors,USA,2,22
Victoria's Secret,USA,2,22
Saks Fifth Avenue,USA,3,22
LL Bean,USA,4,22
TJ Maxx,USA,4,22
Steve Madden,USA,6,22
REI,USA,7,22
Kohl's,USA,8,22
Kate Spade,USA,9,22
Walmart,USA,9,22
New Balance,USA,10,22
Nordstrom,USA,10,22
Russell Athletic,USA,10,22
Patagonia,USA,11,22
Urban Outfitters,USA,11,22
Reebok,USA,15,22
Tommy Hilfiger,USA,15,22
Wrangler,USA,16,22
Levi Strauss & Co,USA,17,22
Old Navy,USA,17,22
Target,USA,17,22
Ralph Lauren,USA,19,22
Vans,USA,19,22
UGG,USA,20,22
The North Face,USA,22,22
Timberland,USA,22,22
Jordan,USA,23,22
Nike,USA,23,22
,,#REF!,
,,#REF!,
,,#REF!,
,,#REF!,
,,#REF!,
,,#REF!,
,,#REF!,